	ID	tmean	precip	rain	snow	actET	snowTotSWE	reachStation	catchmentSimRunoff	catchmentSimRunoff_qm	glacierRunoff	snowMelt	netRain	netSnow	iceRunoff	RD1_reachStation	RD1_reachStation2	RD2_reachStation	RD2_reachStation2	RG1_reachStation	RG1_reachStation2	catchmentRD1	catchmentRD1_qm	catchmentRD2	catchmentRD2_qm	catchmentRG1	catchmentRG1_qm	catchmentRG2	catchmentRG2_qm	glacStorage	snowMelt_G	snowTotSWE_G	Unnamed: 32
17	1985-01-19 07:30	-4.837409	0.013156999999999999	0.0	0.013156999999999999	0.132717	17.255935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.578239	
18	1985-01-20 07:30	-5.078564	1.138593	0.0	1.1902540000000001	0.161145	18.075641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.629899	
19	1985-01-21 07:30	-3.553657	14.057276000000002	0.0	16.132923	0.163358	33.987558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.705546	
20	1985-01-22 07:30	-1.6988330000000003	47.907847	1.123475	52.390267	0.18503499999999998	86.059134	1433125.447634	1433125.447634	16.5871	0.0	1.342293	0.0	0.0	0.0	1433125.447634	0.0	0.0	0.0	0.0	0.0	1433125.447634	16.5871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.31144	
21	1985-01-23 07:30	-0.936889	32.737424	3.279114	32.141799	0.175352	117.77479	5615560.3995900005	5615560.3995900005	64.994912	0.0	3.604946	0.0	0.0	0.0	5615521.6190760005	0.0	35.048664	0.0	3.73185	0.0	5615521.6190760005	64.994463	35.048664	0.00040599999999999995	3.73185	4.3e-05	0.0	0.0	0.0	0.0	11.994928999999999	
22	1985-01-24 07:30	-5.678036	26.355856	0.0	27.380952	0.40197	144.491535	3873910.482208	3873910.482208	44.836927	0.0	0.345883	0.0	0.0	0.0	3873825.3606260004	0.0	73.21865600000001	0.0	11.902925999999999	0.0	3873825.3606260004	44.835941999999996	73.21865600000001	0.0008470000000000001	11.902925999999999	0.000138	0.0	0.0	0.0	0.0	13.020024000000001	
23	1985-01-25 07:30	-5.629405	17.891907	0.0	18.866376000000002	0.399008	162.965693	2013081.462723	2013081.462723	23.299554	0.0	0.001438	0.0	0.0	0.0	2013029.365375	0.0	38.214164000000004	0.0	13.883182999999999	0.0	2013029.365375	23.298951000000002	38.214164000000004	0.000442	13.883182999999999	0.000161	0.0	0.0	0.0	0.0	13.994494	
24	1985-01-26 07:30	-3.978897	15.433575	0.0	16.993184	0.164875	179.57051299999998	1191365.71058	1191365.71058	13.788955	0.0	0.0	0.0	0.0	0.0	1191329.540899	0.0	21.989282	0.0	14.180399	0.0	1191329.540899	13.788535999999999	21.989282	0.00025499999999999996	14.180399	0.000164	0.0	0.0	0.0	0.0	15.554103	
25	1985-01-27 07:30	-2.036914	0.352455	0.0	0.41505600000000004	0.451667	179.89041699999999	773478.5627850001	773478.5627850001	8.952297999999999	0.0	0.0	0.0	0.0	0.0	773450.956776	0.0	13.719103	0.0	13.886906	0.0	773450.956776	8.951979	13.719103	0.00015900000000000002	13.886906	0.000161	0.0	0.0	0.0	0.0	15.616704	
26	1985-01-28 07:30	-5.703032	8.593316999999999	0.0	9.319585	0.186405	188.704299	538826.983217	538826.983217	6.236423	0.0	0.0	0.0	0.0	0.0	538804.4356229999	0.0	9.136183	0.0	13.411412	0.0	538804.4356229999	6.236162	9.136183	0.000106	13.411412	0.000155	0.0	0.0	0.0	0.0	16.342973	
